German,English
ganze,whole
andere,other
getan,did
okay,okay
rein,rein
Diese,This
Moment,Moment
bleiben,remain
brauchen,need
Weil,Because
Kinder,Children
unter,under
Arbeit,Work
Für,For
Problem,Problem
dafür,for that
Herr,Mister
Haben,Have
wegen,because of
geht's,let's go
liebe,love
genug,enough
dabei,included
bringen,bring
Ihre,Her
ne,it is
gegen,against
Weißt,Know
Sag,Sag
schnell,fast
nun,nun
eines,one
brauche,need
Abend,Evening
hatten,had
Jahre,Years
Mach,Mach
Bruder,Brother
Sache,Matter
hören,hear
komm,come on
Sohn,Son
seit,since
Morgen,Morning
drei,three
steht,stands
Scheiße,shit
mag,mag
sei,be
unser,our
konnte,could
habt,have
Oder,Or
einmal,once
heißt,is called
OK,OK
Willst,Want
Kopf,Head
Hilfe,Help
Familie,Family
Geh,Go
Baby,Baby
Dich,You
Sind,Are
erst,first
fertig,complete
gefunden,found
seid,are
kam,came
nehmen,take
morgen,morning
sprechen,speak
Mir,Me
sofort,immediately
Kann,Can
Hat,Has
Jahren,years
Kind,Kind
seinen,his
Genau,Exactly
daran,to it
Junge,Boy
Minuten,minutes
bevor,before
Stadt,City
beim,at the
sterben,die
warst,were
Recht,Right
glauben,believe
Warte,Worth it
darüber,about it
deiner,your
deinem,your
Ende,End
He,He
Dinge,Things
Namen,Names
wahr,true
Alle,All
allein,alone
Natürlich,Naturally
töten,kill
Nichts,Nothing
Wirklich,Really
bekommen,receive
Männer,Men
vergessen,forget
Doch,But
dazu,in addition
gab,gave
später,later
wusste,knew
Augen,Eyes
Dank,Thanks to
Freunde,Friends
Jungs,guys
halten,hold
warten,wait
Glück,Luck
beide,both
gute,good
Dein,Your
kennen,to know
Deine,Your
n,n
Hi,Hi
Dr,Dr
Auto,Auto
sage,sage
gehe,go
komme,come
Dir,you
mache,walk
Von,From
Uhr,Clock
sehe,see
Teufel,Devil
sonst,otherwise
Art,Art
gern,gladly
Liebe,Love
jeden,one
könnten,could
ihren,your
Halt,Halt
Fall,Fall
Dad,Dad
Film,Film
bisschen,a little
eigentlich,actually
weit,far
mach,mach
Gib,Gib
vorbei,over
verstehe,understand
danke,Thanks
drin,inside
Im,In the
Name,Name
ganzen,entire
Musik,Music
würden,would
Tür,Type
verrückt,crazy
solltest,should
denken,think
Noch,Still
dran,your turn
Sieh,See
lieber,Dear
Den,It
leben,life
Guten,Good
Um,One
darauf,on it
Kein,No
stimmt,true
Kerl,guy
letzte,last
Job,Job
verloren,lost
wurden,became
kenne,know
Ahnung,Idea
seiner,his
Grund,Ground
toll,toll
Bis,Until
Verdammt,Damned
bald,bald
bereit,ready
all,all
jemanden,someone
hinter,behind
Schon,Already
Sehr,Very
Hand,Hand
darf,may
Dieser,This
Frauen,Women
Euch,You
Idee,Idea
runter,down
Macht,Power
draußen,outside
lang,just
Land,Land
lass,lass
Typ,Type
hätten,would have
egal,doesn't matter
arbeiten,work
spät,late
stehen,stand
ok,ok
Gute,Good
gekommen,came
Bei,At
etwa,approximately
essen,eat
kleine,small
jeder,everyone
Schwester,Sister
Wasser,Water
spielen,play
Geschichte,Story
seinem,his
liegt,lies
sah,legitimate
Mom,Mom
Seite,Page
wenig,few
ruhig,quiet
Frage,Ask
meinst,mean
überhaupt,at all
fahren,drive
Ganz,Quite
Gehen,Go
Essen,Eat
Ruhe,Quiet
echt,Real
versucht,tried
Tochter,Daughter
Kommt,Comes
Einen,A
ging,went
Jahr,Year
braucht,needs
fast,fast
neue,new
geh,go
ziemlich,quite
anders,otherwise
siehst,see
Polizei,police
Stunden,Hours
musste,had to
Spiel,Game
gewesen,been
gerne,gladly
finde,find
erzählt,told
Tod,Tod
Ort,Location
Chance,Chance
bedeutet,means
War,War
sag,sag
sagst,say
fragen,questions
letzten,last
sogar,even
ersten,first
Sachen,Things
Wahrheit,Truth
einzige,only
kurz,short
denen,those
Kommen,Come
Spaß,Fun
Nach,After
oben,above
Mama,Mama
schwer,difficult
Schule,School
je,is
eben,even
Gesicht,Face
bestimmt,certainly
treffen,meet
niemand,nobody
Woche,Week
Entschuldigung,Excuse me
Sorgen,Care for
warte,worth
natürlich,naturally
schlecht,bad
große,size
getötet,killed
verstehen,understand
hoffe,hope
Ah,Ah
Sei,Be
Zimmer,Zimmer
hoch,high
unserer,our
Tage,Take
Teil,Part
Wann,If
suchen,seek
verlassen,leave
zeigen,show
wollten,wanted
lässt,lets
Wort,Word
eins,like
zwischen,between
Woher,From where
Schatz,Schatz
Wissen,To know
versuchen,attempt
Können,Can
Kannst,Can
nett,net
Zu,To
kriegen,get
Geht,Goes
Arsch,ass
kleinen,small
Hab,Method
weiss,weiss
erste,first
läuft,running
kommst,come
Freundin,Girlfriend
Mensch,Person
beiden,both
Ding,Ding
niemals,never
endlich,finally
Nimm,Take
muß,must
gehst,go
Heute,Today
denkst,think
Herz,Heart
Waffe,weapon
Soll,Should
tust,do
Dollar,Dollar
nehme,take
Schau,Look
holen,fetch
oft,often
drauf,on it
anderes,other
Niemand,Nobody
unten,below
Wagen,Dare
Yeah,Yeah
Schön,Nice
wichtig,important
Mrs,Mrs
hättest,would have
allen,allen
Miss,Miss
ihrer,their
gedacht,thought
Nummer,Number
würdest,would
erzählen,tell
bleibt,remains
Auch,Also
Hände,hands
Blut,blood
Sehen,See
bloß,just
recht,right
bringt,brings
Bett,Bed
Lassen,Let
Eltern,Parents
gefällt,pleases
Schuld,Debt
eure,your
Plan,Plan
Krieg,War
neuen,new
Klar,Clear
retten,the court
guter,goods
während,while
ihrem,their
wären,would be
Fehler,Mistake
scheint,appears
Lasst,Let
gegeben,given
An,An
hör,hear
glücklich,happy
verdammt,damned
alt,all
Platz,Place
darum,therefore
Vielen,Many
falsch,incorrect
unseren,our
schlafen,sleep
Sagen,Say
nächsten,next
fünf,five
frei,free
Sorge,It rises
Vor,Before
fest,fest
bereits,already
alleine,alone
Denn,Because
Zwei,Two
Fragen,Questions
möglich,possible
irgendwie,somehow
Papa,Board
lernen,learn
gestern,yesterday
hierher,here
Schiff,Schiff
vier,four
irgendwas,something
Stimmt,True
Menge,Crowd
keiner,none
brauchst,need
Typen,The type
Dass,That
Stunde,Hour
Szene,scene
Hölle,hell
einige,some
Deshalb,For this reason
geworden,become
Telefon,Telephone
Darf,May
Feuer,Fire
Wollen,Want
Bin,Bin
Alter,Alter
Captain,Captain
Aus,Out of
Dieses,This
Probleme,Problems
Jeder,Everyone
verstanden,understood
wann,if
alten,old
gibt's,there is
sondern,rather
guten,good
zwar,that is
eigenen,own
New,New
Körper,Body
hört,heard
Zum,For the
gebe,give
Kumpel,buddy
Hund,Dog
nochmal,again
hab's,hab's
früh,early
Hören,Hear
trinken,drink
besten,best
meines,mine
schaffen,create
alte,other
Luft,Air
Jemand,Someone
dürfen,may
Meister,Master
Erde,Earth
Seit,Since
Sicher,secure
Hört,Heard
Zukunft,Future
kaum,people
funktioniert,functions
voll,full
Bleib,Stay
reicht,suffices
weh,wow
stellen,place
Siehst,See
kleiner,smaller
großen,large
Waffen,Weapons
Büro,Office
Wahl,Choice
verlieren,lose
Wochen,weeks
Damit,With it
Stück,Piece
lieben,love
allem,everything
getroffen,met
äh,uh
Am,Am
geschafft,done
tue,tue
gefallen,fallen
Tja,There
Boss,Boss
überall,everywhere
Sieht,Sees
passieren,happen
lustig,funny
Licht,Light
gebracht,brought
nennen,to name
Folge,Consequence
Gefühl,Feeling
völlig,fully
denkt,thinks
Schlüssel,Key
drüben,over
Richtig,Correct
wieso,how come
Leuten,people
Buch,Book
laufen,run
spielt,plays
früher,earlier
Sein,Be
krank,sick
gegangen,gone
fand,found
Seine,His
Pass,Pass
fühle,feel
Himmel,Heaven
froh,glad
leicht,light
direkt,directly
langsam,slow
wolltest,wanted
erinnern,remember
zuerst,first
Krankenhaus,hospital
Viel,Much
beste,other
welche,which
genommen,taken
Arzt,Physician
unserem,our
Idiot,Idiot
Machen,Make
glaubst,believe
jede,every
Ohne,Without
groß,large
hattest,had
Äh,Uh
Jungen,boys
Rest,Rest
Unsere,Our
versuche,try
Tagen,days
nächste,next
Entschuldigen,Excuse
Doktor,Doctor
spricht,speaks
könnt,can
hält,holds
Team,Team
Verstanden,Understood
kämpfen,battle
heiraten,marry
könntest,could
Wow,Wow
Etwas,Something
Straße,Street
Mist,Mist
König,king
redest,talking
kleines,small
lebt,lives
erklären,explain
worden,become
Millionen,millions
Wiedersehen,Goodbye
Onkel,Uncle
kennst,know
sitzen,sit
dies,dies
weniger,fewer
Kaffee,Coffee
ernst,ernst
wollt,wanted
tragen,carry
Zeug,Things
trotzdem,despite it
Ihren,Your
kaufen,buy
Liste,List
ändern,change
Kampf,Battle
hasse,rush
Person,Person
Mund,Can
umbringen,kill
Präsident,president
Boden,Floor
Wohin,Where
machte,made
Party,Party
gefragt,asked
Seht,Look
irgendwo,somewhere
kümmern,take care
kennt,knows
verletzt,injured
Habt,Have
Nachricht,News
Willkommen,Welcome
vielen,many
hart,hart
lasse,load
total,total
Gefängnis,Jail
außer,except
Sicherheit,Security
Schnell,Fast
wem,whom
ehrlich,ehrlich
interessiert,interested
Sex,Sex
sagten,said
ziehen,pull
Welche,Which
Unser,Our
Augenblick,Augenblick
angerufen,called
aufhören,stop
Klasse,Class
Bild,Picture
stark,stark
Dies,Dies
Eure,Your
zehn,ten
Sinn,To be
vorstellen,introduce
Traum,Dream
länger,longer
manchmal,sometimes
anrufen,call
sechs,six
Arschloch,asshole
sollst,should
gestorben,died
Tages,Taken
war's,war's
verschwinden,disappear
Kraft,Kraft
gesprochen,spoken
heraus,out of here
genauso,just as
wärst,would be
Eins,Like
damals,at that time
heißen,be called
Liebling,Darling
wahrscheinlich,probably
deshalb,for this reason
Stelle,Position
halt,halt
erwartet,expected
solche,such
meisten,most
bringe,bring
still,still
umgebracht,killed
Stimme,Agree
General,General
Geben,Give
Entschuldige,Sorry
Vergiss,Forget
rede,network
führen,lead
Bewegung,Movement
höre,hear
Sonst,Otherwise
Geschäft,Business
werdet,will
konnten,could
wartet,waits
Raus,Out
anfangen,begin
Habe,Have
hinten,rear
fällt,falls
wen,wen
Sekunden,seconds
Manchmal,Sometimes
gerettet,saved
Naja,Oh well
Gibt,Gives
jemals,ever
Meinung,Opinion
geschehen,happen
Antwort,Answer
schlimm,terrible
Eigentlich,Actually
findet,finds
Scheiß,Shit
gewinnen,win
Tu,You
Gedanken,Thoughts
erinnere,remember
mögen,like
Herren,Men
klingt,sounds
vorher,previously
Auge,Eye
hab',method
setzen,set
cool,cool
Anfang,Beginning
Immer,Always
danach,thereafter
Monate,Sweet
Lebens,Life
Beste,other
benutzen,use
Nehmen,Take
fühlen,feel
Ärger,Trouble
arbeite,work
Rolle,Role
gefährlich,dangerous
Dort,There
gelernt,learned
fallen,fallen
böse,evil
werd,became
Nähe,Vicinity
geschickt,sent
liebt,loves
Tisch,Table
Mehr,More
Ziel,Goal
Raum,Space
jedem,everyone
fliegen,fly
Wohnung,Apartment
Dafür,For that
erfahren,experience
dumm,dumb
eher,rather
vorsichtig,cautious
herum,around
Klappe,flap
schicken,send
Laden,Laden
aufs,on the
Wird,Becomes
Warten,Wait
großer,large
arbeitet,works
Euer,Your
Worte,words
richtige,correct
Flugzeug,Airplane
Firma,Business
bezahlen,pay
Einer,One
Glaubst,Believe
falls,falls
schreiben,write
tat,gave
Darum,Therefore
starb,died
Schluss,Ending
Fenster,Window
liegen,lay
wär's,would be
Verzeihung,forgiveness
niemanden,no one
neues,new
Weiß,White
benutzt,used
nen,with
jedes,each
schätze,appreciate
Finger,Finger
wert,value
rüber,over
halte,hold
Falls,Falls
besonders,particularly
Daddy,Daddy
Witz,Joke
nachdem,after
nimmt,takes
Kontrolle,control
großartig,great
Herzen,Hearts
gutes,good
gewonnen,won
Bier,Beer
kamen,came
Drei,Three
stolz,proud
Egal,No matter
komisch,funny
bitten,bitten
Ihrer,Your
plötzlich,suddenly
Bring,Bring
Informationen,information
bring,bring
neu,or
glaubt,believes
Seid,Are
hörte,heard
rum,rum
Lage,Make
sowieso,anyway
bekommt,receives
Ruf,Call
dagegen,against it
Richtung,Direction
nötig,necessary
Minute,Minute
lesen,read
behalten,keep
selber,himself
verkaufen,sell
geschrieben,written
Entscheidung,Decision
unterwegs,on the way
Insel,Island
Hotel,Hotel
voller,full
frage,ask
Monat,Month
rufe,cover
verdient,earned
gearbeitet,worked
wenigstens,at least
wünschte,wished
tu,there
schöne,beautiful
Selbst,Himself
Seele,Soul
stand,stand
Geist,Spirit
Gefahr,Danger
Gefallen,Fallen
unmöglich,impossible
gelesen,read
glaub,believe
Wegen,Because of
bezahlt,paid
Schicksal,Fate
verstehst,understand
leider,unfortunately
Monaten,months
Weile,while
verheiratet,married
mussten,had to
Agent,Agent
rufen,call
jemandem,someone
gib,gib
Beispiel,Example
kalt,called
sitzt,sits
Anruf,Call
Sekunde,Seconds
schneller,faster
hey,hey
verdammte,damned
euer,your
hole,hole
Denkst,Think
Bauer,Bauer
Karte,Map
aller,go
du's,you're
Befehl,command
darfst,may
bekannt,known
Opfer,Victim
unglaublich,incredible
steckt,stuck
Ernst,Ernst
unbedingt,absolutely
Wen,Wen
Zug,Train
perfekt,perfect
witzig,funny
Amerika,American
Keiner,None
Kamera,Camera
führt,leads
passt,fits
schlagen,hit
kriegt,gets
Glauben,Believe
sieh,see
nennt,calls
bin's,thousand's
Gefühle,Feelings
ständig,constant
verändert,changed
tolle,great
Gottes,God's
heiß,hot
Partner,Partner
Mörder,Murderer
folgen,consequences
Mich,Me
Computer,Computer
dahin,there
ansehen,view
Außerdem,Besides that
Wovon,What
nimm,take
klein,klein
zerstört,destroyed
suche,search
I,I
nämlich,namely
Versuch,Attempt
schlimmer,worse
Sheriff,Sheriff
Unfall,Accident
müsste,should
entschuldigen,excuse
Vorsicht,Caution
Nase,Nose
sowas,like this
schießen,shoot
alter,alter
Geburtstag,Birthday
beschützen,protect
Zurück,Back
müde,tired
Beziehung,Relationship
gestohlen,stolen
stirbt,dies
Geheimnis,Secret
süß,sweet
offen,open
Ihrem,Your
Geschenk,Gift
Punkt,Point
Über,Over
hilft,helps
Dame,Dame
bewegen,move
solange,as long as
sauer,sauer
Tasche,Bag
Schritt,Step
Sie's,She's
Setz,Set
Arm,Arm
meinte,said
müsst,must
erwischt,caught
gehabt,had
Bart,Bart
vertrauen,trust
erreichen,to reach
wär,would be
Gebäude,Building
Ähm,Um
versprochen,promised
O,THE
fort,fort
erledigt,completed
Armee,army
nahm,took
näher,closer
weitere,more
Will,Will
Rücken,Back
Chef,Chef
Regierung,Government
Preis,Price
Hm,Hm
Wunder,Wonder
Verbindung,Connection
Bescheid,Notice
Boot,Boot
Situation,Situation
normal,normal
erledigen,complete
mußt,must
Ehre,Honor
Planeten,Planets
fürs,for the
darin,in it
kriegst,get
ich's,I ... it
drehen,turn
Denk,Think
Prinzessin,princess
Drogen,drugs
Reise,Travel
Mord,Murder
Ob,Ob
Toll,Toll
schwöre,swear
Zeiten,Times
Schlampe,slut
Regeln,Regulate
aussehen,look
Rede,Network
verliebt,in love
Position,Position
redet,talks
Scheisse,Shit
Möglichkeit,Possibility
Sonne,Sun
hol,where
letzter,last
Kontakt,Contact
Könnte,Could
Damen,Damen
deswegen,because of this
ähm,um
gekauft,bought
Schwert,sword
Hunger,Hunger
Frieden,Peace
persönlich,personal
Blick,View
Einzige,Only
Nachrichten,News
Maul,Maul
verraten,betrayed
Hoffnung,Hope
geboren,born
Untertitel,Subtitles
kaputt,broken
Soldaten,soldiers
eigene,own
ans,years
übrig,left over
Muss,Must
hältst,hold
aufhalten,stop
Zeichen,Sign
Sofort,Immediately
dauert,lasts
versteckt,hidden
tatsächlich,actually
Schwein,Pig
Band,Band
Laß,Let
Haare,Hair
wütend,angry
Hochzeit,Wedding
schrecklich,terrible
fühlt,feels
Energie,Energy
traurig,sad
sauber,clean
Leiche,Corpse
links,links
Kleine,Small
super,super
Bord,Edge
möchten,want
Erst,First
magst,like
fangen,catch
gesucht,wanted
beschäftigt,busy
wisst,know
weisst,you know
Wartet,Waiting
erwarten,expect
verschwunden,disappeared
Professor,Professor
sobald,as soon as
geredet,talked
Brief,Brief
acht,act
Lauf,Run
zeigt,shows
Show,Show
hübsch,pretty
sucht,seeks
verkauft,sold
sagtest,said
namens,on behalf of
Fernsehen,TV
wohin,where
Hol,Where
ließ,let
heiße,hot
fährt,drives
tanzen,dance
nervös,nervous
findest,find
gegessen,eaten
fehlt,missing
Vergangenheit,Past
miteinander,each other
deines,yours
neben,next to
Handy,Handy
anderer,other
tief,deep
ran,ran
Runter,Down
Aufgabe,Task
richtigen,correct
Foto,Photo
schau,look
verdammten,damned
Tee,Tee
sieben,seven
Fuß,Foot
geschlafen,slept
brauch,needs
Kindern,children
Beine,Legs
ewig,eternal
absolut,absolutely
hm,hm
schlechte,bad
Unsinn,nonsense
ruf,call
Treffen,Meet
irgendetwas,anything
hörst,hear
Bombe,Bomb
bekam,got
Herrn,Mr.
Halten,Hold
gelassen,calm
Tante,Many
angefangen,begun
Hals,Throat
vorne,in front
Bullen,Bullen
Bank,Bank
Weise,Way
verantwortlich,responsible
öffnen,open
schwierig,difficult
seh,seh
bleibe,stay
rechts,right
Operation,Operation
Sollen,Should
Anwalt,Attorney
verspreche,promise
bleibst,stay
a,a
Glückwunsch,congratulations
entscheiden,decide
entfernt,removed
brachte,brought
zerstören,destroy
Wahrscheinlich,Probably
Lied,Lied
gespielt,played
aussieht,looks like
Tun,Again
Lust,Lust
Vaters,father's
Uh,Uh
Meinst,Do you mean
Bilder,Pictures
uh,uh
kriege,wars
Feind,Enemy
Händen,hands
jung,jung
Ball,Ball
stecken,put
Sobald,As soon as
Reden,Rode
geholfen,helped
gleichen,same
gehören,belong
wach,awake
genannt,called
zahlen,pay
nahe,vicinity
Aufnahme,Recording
Achtung,Danger
gleiche,same
Viele,Many
Mission,Mission
bekomme,get
laut,sea
Schmerz,pain
Ehrlich,Ehrlich
Schlag,blow
Jawohl,Yes indeed
Fleisch,Meat
legen,place
möchtest,want
Verstehst,Understand
Wozu,For what reason
Weihnachten,Christmas
Erinnerst,Remember
Zieh,Pull
Schwierigkeiten,Difficulties
Park,Park
Durch,Through
Bleiben,Remain
wussten,knew
meint,thinks
Gesellschaft,Company
gebeten,asked
erhalten,receive
bedeuten,mean
Kennst,Know
verstecken,hide
Respekt,Respect
dasselbe,the same
Gehirn,Brain
entschieden,decided
zieht,pulls
liebst,love
dachten,thought
Witze,jokes
na,already
sorgen,care for
All,All
Volk,Volk
Rat,Rat
lebe,live
Präsidenten,President
Schuhe,Shoes
Monster,Monster
dauern,last
Beweise,Proofs
Hälfte,half
schauen,look
Kirche,Church
Eines,One
Hintern,butt
Spur,Spur
Lehrer,Teacher
Hilf,Help
Gold,Gold
Denken,Think
lieb,dear
wunderbar,wonderful
Güte,Quality
lasst,let
geliebt,loved
fahre,drive
Loch,Loch
geschlagen,beaten
ganzes,whole
wunderschön,beautiful
lachen,laugh
beweisen,prove
Zeig,Show
Kleiner,Smaller
gegenüber,opposite
Bus,Bus
großes,large
Verstand,Mind
trägt,carries
herausfinden,find out
gewartet,waited
niemandem,no one
Gegend,Area
Bevor,Before
schönen,beautiful
seltsam,strange
bewegt,moved
Haut,High
Fotos,Photos
nah,Now
Angriff,attack
Erzähl,Tell
interessant,interesting
Schlaf,Sleep
Wind,Wind
Messer,Messer
lag,lag
fürchte,fear
beginnt,begins
Weiter,Further
überrascht,surprised
Stell,Take care
gefangen,caught
bleib,stay
Bein,Bein
Eier,Owner
singen,sing
seht,see
Überraschung,Surprise
Dorf,Village
besorgen,obtain
Glas,Vote
Fünf,Five
Einfach,Simply
besuchen,visit
geändert,changed
beginnen,begin
echte,real
Pferd,Horse
Held,Held
Taxi,Taxi
Freunden,friends
mitnehmen,take along
Gruppe,group
Sorry,Sorry
besorgt,worried
System,System
Gleich,Same
Würde,Would
ruft,calls
Fahren,Drive
Steh,Stand
nimmst,take
Obwohl,Although
Bringt,Brings
falschen,false
leisten,afford
schwanger,pregnant
Fahr,Fahr
Adresse,Address
gemeinsam,together
entkommen,escape
übel,bad
vermisst,missing
Lady,Lady
Küche,Kitchen
Flug,flight
Besuch,Visit
hängt,hangs
werfen,throw
falsche,false
Sogar,Even
Ring,Ring
Verschwinde,Disappear
überleben,survive
Gesetz,Law
Tor,Tor
Wald,Forest
ungefähr,approximately
Patienten,patients
Maschine,machine
Könnten,Could
junge,boy
Fräulein,miss
gehts,let's go
Ehe,Before
Würden,Would
Schauspieler,Actor
Dach,Roof
Übersetzung,translation
kannte,knew
Bringen,Bring
wir's,we s
drinnen,inside
Wisst,Know
Während,While
Tat,Gat
Suche,Search
Letzte,Last
blöd,stupid
Blumen,Flowers
Setzen,Set
Freiheit,Freedom
seines,his
Ecke,Corner
Wäre,Were
Knast,prison
Karten,Cards
pro,pro
Leg,Leg
helfe,help
oh,oh
Wein,Wine
wette,laws
Vergnügen,Enjoyment
Uns,Us
Unterschied,Difference
Lieber,Dear
Verbrechen,crime
gibst,give
Vertrauen,Trust
gesund,healthy
Deswegen,Because of this
zweite,second
Hörst,Listen
erkennen,recognize
Meter,Meter
euren,their
weder,neither
Schüler,Pupils
obwohl,although
bisher,until now
welcher,which
Mut,But
davor,before
Bar,Bar
wohnen,reside
Dem,Dem
Echt,Real
statt,instead of
Pause,Pause
Neues,News
Auftrag,Order
Hoffentlich,Hopefully
Tschüss,Bye
Wand,Wand
schreit,screams
Männern,men
Kennen,To know
spreche,speak
kostet,costs
Zuerst,First
Erfolg,Success
Wofür,For what
soweit,as far as
Möchtest,Would you like
Meinen,Mean
teilen,split
erschossen,shot
entlang,along
Eis,Ice
nem,not
Amerikaner,American
Abendessen,Dinner
Mistkerl,Mistkerl
übernehmen,take over
Irgendwas,Something
danken,thank
irgendwann,sometime
gebaut,built
schützen,protect
beenden,finish
Super,Super
Polizist,policeman
gefahren,driven
Bericht,Message
wovon,of which
Test,Test
Monsieur,Sir
Arme,Armed
wüsste,would know
woher,from where
Majestät,majesty
Fertig,Ready
versteht,understands
trifft,meets
Meer,More
Hut,Hut
zuvor,before
lief,love
Haltet,Hold
Zeitung,Newspaper
Mami,Mami
schuldig,guilty
bauen,build
Freude,Joy
zufrieden,satisfied
Zuhause,At home
versuchte,tried
Drink,Drink
Niemals,Never
sprach,spoke
indem,by
gemeint,meant
fühlst,feel
deren,whose
Quatsch,Nonsense
Kugel,Bullet
Klingt,Sounds
hielt,held
Gericht,Directed
furchtbar,terrible
Würdest,Would
Wirst,Will
verpasst,missed
Ohren,ears
Rose,Rose
neuer,newer
fanden,found
Haufen,heap
Drehbuch,script
Gutes,Good
Schätzchen,baby
Deal,Deal
Ma'am,I have
Haar,Her
stehe,stand
fassen,grasp
Ehemann,Husband
funktionieren,function
fragte,asked
verhaftet,arrested
drüber,over it
Sergeant,Sergeant
stimmt's,is it true
Verantwortung,Responsibility
Major,Major
feiern,celebrate
Bücher,Books
kümmere,take care
ähnlich,similar
unterhalten,entertain
Stein,Stein
kümmert,cares
nächstes,next
gewusst,known
Beim,At the
schöner,more beautiful
aufpassen,watch out
Unglaublich,Incredible
Katze,Cat
geschieht,happens
Brüder,brothers
mitgebracht,brought along
unseres,our
Verstehe,Understand
Lord,Lord
letztes,last
dessen,whose
Vier,Four
mitten,middle
erinnert,remembers
Wahnsinn,Craziness
vorhin,earlier
Neuigkeiten,news
setzt,sets
klasse,class
Einige,Some
zufällig,randomly
Kleid,Dress
Jedenfalls,Anyway
Angebot,Offer
erklärt,explained
stellt,represents
Restaurant,Restaurant
Kommst,Come
Zur,To
Serie,Series
melden,report
Brücke,Bridge
Erinnerungen,Memories
gestellt,placed
Sagt,Says
Schmerzen,Pains
besteht,consists
verdienen,earn
hallo,Hello
offensichtlich,apparently
Fisch,Fish
hängen,hang
Gelegenheit,Opportunity
Endlich,Finally
Möchten,Want
konntest,could
bekommst,get
Idioten,idiots
Virus,Virus
größte,largest
gingen,went
Strand,Strand
geplant,planned
betrunken,drunk
fängt,catches
keinem,no one
bringst,bring
Süße,sweetness
irgendwelche,any
Thema,Theme
Date,Date
Stellen,Place
machten,made
diesmal,this time
Guck,Look
Figur,Figure
